,y_train
532,38.25
533,37.97
534,37.88
535,38.4
536,37.53
537,38.26
538,38.72
539,38.76
540,38.49
541,38.93
542,38.52
543,38.8
544,38.5
545,39.05
546,38.36
547,37.99
548,38.01
549,37.2
550,37.11
551,37.1
552,37.64
553,37.0
554,35.99
555,35.94
556,36.42
557,36.7
558,35.58
559,36.33
560,36.25
561,35.81
562,35.56
563,36.37
564,35.31
565,35.18
566,35.87
567,36.27
568,35.86
569,36.18
570,36.86
571,37.36
572,37.0
573,36.88
574,36.63
575,36.94
576,37.32
577,37.79
578,38.0
579,37.43
580,37.56
581,37.81
582,37.83
583,39.47
584,39.15
585,38.34
586,35.9
587,34.95
588,34.69
589,34.18
590,33.69
591,33.16
592,33.3
593,32.26
594,31.86
595,32.7
596,32.01
597,31.35
598,30.15
599,30.1
600,30.03
601,29.01
602,29.58
603,29.32
604,28.78
605,28.47
606,28.68
607,28.87
608,28.92
609,29.5
610,29.99
611,28.47
612,28.03
613,28.69
614,29.1
615,29.1
616,28.88
617,28.67
618,29.13
619,28.77
620,29.64
621,30.5
622,30.63
623,30.57
624,30.79
625,30.2
626,30.35
627,30.82
628,30.4
629,30.31
630,29.81
631,29.42
632,29.54
633,28.98
634,29.59
635,28.25
636,27.95
637,27.85
638,27.52
639,27.6
640,28.25
641,27.74
642,27.67
643,27.33
644,26.7
645,26.93
646,26.87
647,27.53
648,28.4
649,30.0
650,31.55
651,32.6
652,31.63
653,32.01
654,32.14
655,31.53
656,32.07
657,32.19
658,32.7
659,34.0
660,33.75
661,34.0
662,33.8
663,33.17
664,32.91
665,32.73
666,32.41
667,32.43
668,32.92
669,31.81
670,32.23
671,32.44
672,32.15
673,32.4
674,32.49
675,31.6
676,31.42
677,31.79
678,32.67
679,33.6
680,36.64
681,36.23
682,37.33
683,37.33
684,37.83
685,37.4
686,37.14
687,38.1
688,37.7
689,38.22
690,38.15
691,37.54
692,36.88
693,36.75
694,37.56
695,38.25
696,38.08
697,37.43
698,37.55
699,37.25
700,38.05
701,38.75
702,37.91
703,38.47
704,38.45
705,38.52
706,38.07
707,38.5
708,39.33
709,39.2
710,39.35
711,38.72
712,38.09
713,38.4
714,37.55
715,37.64
716,37.91
717,38.96
718,39.46
719,39.87
720,39.43
721,39.08
722,40.05
723,40.75
724,41.32
725,41.45
726,41.18
727,42.0
728,42.5
729,41.45
730,41.34
731,39.85
732,40.17
733,39.65
734,40.16
735,39.55
736,39.54
737,39.05
738,38.85
739,38.12
740,39.69
741,40.0
742,40.75
743,40.57
744,43.06
745,42.445
746,40.77
747,42.29
748,42.01
749,41.32
750,40.75
751,41.76
752,41.64
753,41.3
754,40.72
755,39.8
756,40.78
757,40.42
758,40.5
759,39.16
760,39.4
761,39.65
762,40.25
763,40.22
764,39.94
765,38.3
766,38.44
767,37.65
768,37.99
769,39.54
770,39.17
771,39.06
772,39.36
773,38.84
774,38.91
775,38.99
776,39.04
777,39.08
778,38.65
779,38.25
780,38.2
781,37.86
782,38.55
783,38.44
784,38.71
785,39.3
786,40.09
787,40.52
788,40.97
789,40.9
790,40.65
791,40.16
792,38.69
793,38.46
794,38.92
795,38.42
796,39.05
797,38.63
798,39.2
799,39.46
800,39.01
801,39.33
802,38.57
803,39.25
804,38.64
805,39.8
806,40.2
807,42.63
808,42.87
809,42.91
810,42.66
811,43.71
812,42.6
813,42.21
814,41.37
815,41.56
816,42.0
817,42.11
818,42.69
819,42.67
820,42.64
821,42.85
822,42.1
823,42.1
824,42.83
825,42.57
826,42.91
827,42.66
828,42.94
829,42.19
830,42.23
831,42.65
832,42.54
833,43.02
834,42.75
835,41.59
836,41.79
837,41.6
838,41.5
839,41.32
840,41.4
841,41.15
842,41.1
843,40.76
844,41.84
845,41.97
846,41.74
847,42.12
848,42.55
849,43.85
850,43.21
851,43.64
852,43.35
853,42.22
854,42.34
855,42.47
856,44.0
857,44.12
858,44.25
859,44.33
860,44.09
861,43.39
862,42.45
863,43.2
864,42.7
865,43.16
866,44.3
867,44.49
868,42.65
869,42.36
870,42.41
871,41.27
872,41.3
873,40.84
874,40.03
875,39.97
876,40.35
877,40.56
878,40.15
879,40.14
880,40.8
881,41.0
882,40.92
883,40.6
884,40.27
885,40.94
886,41.35
887,41.04
888,41.1
889,41.25
890,41.31
891,42.41
892,41.87
893,42.17
894,41.97
895,41.15
896,41.21
897,40.79
898,41.17
899,40.29
900,39.6
901,39.4
902,38.71
903,39.08
904,39.61
905,39.9
906,41.3
907,41.0
908,41.01
909,40.22
910,39.83
911,39.86
912,40.51
913,40.41
914,40.4
915,40.82
916,40.5
917,40.41
918,40.66
919,41.39
920,42.1
921,42.75
922,42.75
923,43.22
924,43.91
925,43.34
926,43.22
927,43.39
928,43.59
929,43.99
930,43.07
931,43.71
932,44.53
933,43.55
934,43.64
935,43.0
936,41.82
937,41.26
938,43.09
939,43.5
940,43.64
941,43.89
942,44.05
943,44.17
944,43.91
945,44.4
946,44.64
947,45.0
948,44.9
949,45.79
950,45.89
951,45.94
952,45.57
953,46.0
954,45.97
955,47.08
956,46.22
957,47.2
958,47.55
959,48.0
960,47.85
961,47.2
962,47.45
963,47.58
964,47.75
965,47.35
966,47.31
967,47.85
968,47.31
969,46.1
970,43.9
971,43.19
972,40.86
973,41.39
974,41.0
975,41.35
976,41.75
977,42.7
978,41.87
979,41.9
980,41.69
981,41.03
982,41.59
983,42.18
984,43.1
985,41.89
986,42.22
987,44.0
988,44.2
989,44.3
990,44.5
991,44.49
992,43.88
993,43.96
994,43.6
995,41.79
996,42.19
997,41.89
998,41.94
999,42.47
1000,42.6
1001,42.97
1002,43.09
1003,42.53
1004,42.68
1005,42.9
1006,41.52
1007,41.3
1008,40.3
1009,39.88
1010,39.3
1011,39.19
1012,38.84
1013,38.26
1014,38.08
1015,37.75
1016,37.28
1017,35.17
1018,33.01
1019,33.21
1020,34.45
1021,35.02
1022,35.18
1023,35.4
1024,35.54
1025,33.83
1026,34.97
1027,34.55
1028,33.94
1029,34.6
1030,32.42
1031,32.53
1032,33.28
1033,34.1
1034,34.74
1035,35.01
1036,34.8
1037,35.24
1038,34.35
1039,35.23
1040,34.83
1041,35.08
1042,35.54
1043,35.5
1044,35.26
1045,34.91
1046,33.49
1047,32.58
1048,33.0
1049,32.4
1050,32.47
1051,32.6
1052,32.21
1053,32.99
1054,32.98
1055,33.36
1056,32.03
1057,31.53
1058,33.87
1059,34.81
1060,34.51
1061,36.39
1062,36.51
1063,37.1
1064,36.07
1065,35.61
1066,36.56
1067,37.4
1068,36.4
1069,37.0
1070,36.81
1071,36.61
1072,36.73
1073,36.4
1074,36.94
1075,35.91
1076,36.29
1077,36.1
1078,36.47
1079,36.87
1080,36.2
1081,36.32
1082,36.29
1083,36.71
1084,37.41
1085,37.02
1086,37.0
1087,37.79
1088,38.34
1089,39.23
1090,40.39
1091,40.06
1092,40.09
